BGG Rank,Complexity Average,Mech_role_camp,Strategy,Wargames
18846,1.0,0,0,0
3183,2.06,1,0,0
8088,3.41,1,0,1
10111,3.2,0,1,0
12548,1.75,1,0,0
7874,3.14,1,0,0
8661,2.14,1,0,1
14085,1.92,0,0,0
1415,1.37,0,0,0
359,1.88,0,1,0
6381,2.67,0,1,0
1060,1.11,0,0,0
1366,2.63,1,1,0
17313,1.0,0,0,1
10191,3.43,1,0,0
14769,1.17,1,0,0
10664,1.5,0,0,0
2852,2.29,0,1,0
12286,2.0,0,0,0
17400,1.17,0,0,0
12496,2.33,0,0,0
2769,1.55,0,1,0
11420,3.0,0,0,0
16305,1.0,0,0,0
3990,3.22,1,0,1
10103,3.2,0,0,0
19126,1.5,0,0,0
8630,3.39,1,0,1
149,3.25,1,0,0
1164,2.36,1,1,0
9313,2.15,1,0,1
1879,3.53,0,1,0
899,2.72,1,1,0
16473,2.0,0,0,0
14215,2.08,0,0,0
712,2.25,0,0,0
10475,2.78,0,0,1
9037,4.14,1,0,1
15481,2.43,1,0,1
15346,2.5,0,0,0
19950,1.22,0,0,0
13973,1.0,0,0,0
18412,1.5,0,0,0
15461,2.5,0,0,1
13381,1.67,0,0,0
7475,2.93,0,0,1
19806,1.17,0,0,0
3929,4.07,1,0,1
402,2.59,1,1,0
1090,2.72,0,1,0
3010,2.3,1,1,0
5545,1.44,0,0,0
4337,1.8,1,0,0
638,2.3,1,0,0
3040,1.64,0,0,0
5206,1.67,0,0,0
11908,1.0,0,0,0
9189,1.78,0,0,0
1651,2.25,0,0,0
13805,1.75,0,0,0
12691,2.5,0,0,0
8694,1.43,0,0,0
14756,2.78,0,0,1
4189,1.53,0,0,0
10462,3.0,0,0,1
8833,2.0,0,0,1
8176,1.48,0,0,0
10984,3.5,1,0,0
102,1.83,0,0,0
8177,4.0,0,0,1
10417,1.67,0,0,0
17537,1.08,0,0,0
17218,2.0,1,0,0
15611,1.8,0,0,0
1729,2.07,0,0,0
1398,1.1,0,0,0
14364,2.5,0,0,1
9295,3.5,0,0,0
15315,2.46,0,0,1
11297,1.38,0,0,0
13104,2.0,0,0,0
5925,2.67,0,1,0
5667,1.87,1,0,0
1058,2.19,0,1,0
4093,2.03,0,0,1
10523,3.2,1,0,1
16589,1.12,0,0,0
14762,1.67,0,0,0
7306,2.89,0,1,0
8440,1.25,0,0,0
8773,1.09,0,0,0
1106,1.93,0,0,0
2866,1.89,0,1,0
2497,2.47,0,1,0
3101,1.67,0,0,0
18416,1.0,0,0,0
11910,2.33,0,0,0
5360,2.4,1,0,0
14764,1.25,0,0,0
20324,1.22,0,0,0
8531,2.08,0,0,0
629,2.35,1,1,1
16711,2.5,0,0,1
5657,1.88,1,1,0
18021,1.0,0,0,0
12158,1.25,1,0,0
3741,2.13,0,0,0
10900,1.8,0,0,0
7395,2.92,1,1,0
15303,1.0,0,0,0
17942,2.33,0,0,0
16415,1.5,0,0,0
15084,1.0,0,0,0
9774,2.5,0,0,0
9929,3.0,0,0,1
12434,1.13,0,0,0
702,3.04,0,1,0
16002,1.5,0,0,0
6030,2.62,0,0,1
10634,1.0,0,0,0
14538,1.75,0,0,0
868,2.06,1,1,0
16992,2.0,0,0,0
1066,2.36,1,1,0
627,2.58,0,0,0
11667,3.33,0,0,1
18207,1.67,0,0,0
10079,1.67,0,0,0
6919,2.06,0,0,0
7063,2.14,1,0,0
15703,1.64,0,0,0
6391,1.71,0,0,0
1684,2.7,1,1,0
18700,1.5,0,0,0
2137,1.91,0,0,0
12717,1.67,0,0,0
10745,1.0,0,0,0
12883,1.6,0,0,0
7734,1.0,0,0,0
315,3.06,1,1,0
8418,2.2,0,0,0
12771,1.33,0,0,0
14898,1.0,0,0,0
12207,1.25,0,0,0
5485,3.23,0,0,1
696,3.86,0,1,0
12558,1.91,1,0,0
10526,3.67,0,0,1
18370,1.5,0,0,0
5917,3.5,0,0,1
8662,2.5,1,0,1
5350,2.38,0,0,0
1982,2.7,0,0,0
3601,1.38,0,0,0
3813,3.43,1,1,0
11932,1.0,0,0,0
10184,2.29,1,0,0
19354,1.13,0,0,0
19623,1.97,0,0,0
9283,1.98,0,0,0
10460,2.33,1,0,0
16251,1.29,0,0,0
16172,3.33,0,0,1
6885,2.83,1,0,0
17434,1.22,0,0,0
19065,1.6,0,0,1
1352,2.7,0,1,0
13523,2.0,0,0,0
18574,2.11,0,0,0
12735,1.88,0,0,0
2488,1.85,0,0,0
5297,3.13,0,0,1
13033,1.0,0,0,0
13771,2.13,0,0,0
5845,2.31,0,0,0
7157,1.83,0,0,0
11308,1.94,0,0,0
5254,2.7,1,1,1
17216,1.5,0,0,0
9584,2.0,0,0,0
1925,3.25,1,1,0
6239,3.21,1,0,0
10957,2.67,0,0,0
12679,1.0,0,0,0
18421,1.45,0,0,0
2221,3.04,1,1,0
126,1.82,0,0,0
12639,1.0,0,0,0
9965,2.88,0,0,1
10950,2.93,1,0,0
1845,1.19,0,0,0
2928,1.26,0,0,0
4017,2.09,0,0,0
12565,1.89,0,0,1
9879,1.0,0,0,0
18302,1.46,0,0,0
2909,1.44,0,0,0
15240,1.0,0,0,0
15826,1.0,0,0,0
17697,3.56,0,0,1
7856,1.0,0,0,0
13728,1.55,0,0,0
1293,2.01,0,0,0
430,3.85,0,1,0
2477,3.26,1,1,0
8258,2.3,0,0,1
8655,1.0,0,0,0
15205,1.0,0,0,0
6991,2.97,0,1,0
10977,2.1,0,0,0
8651,2.29,1,0,1
13581,1.0,0,0,0
10476,1.29,0,0,0
7010,2.0,1,0,0
4544,1.72,0,0,0
17673,1.25,0,0,0
18393,1.0,0,0,0
287,1.71,0,0,0
17522,2.69,0,0,1
3088,3.73,1,0,1
7982,1.25,0,0,0
20090,1.0,1,0,0
13061,1.06,0,0,0
17659,1.63,0,0,0
16005,1.25,0,0,0
5137,1.24,0,0,0
3633,1.0,0,0,0
13127,2.0,0,0,0
13133,2.0,0,0,0
12649,2.63,0,0,1
11625,3.25,0,0,0
15666,1.43,0,0,0
19828,1.2,0,0,0
2489,1.2,0,0,0
10332,3.0,0,0,1
4048,2.17,0,0,0
11983,2.33,1,0,0
4034,1.88,0,0,0
18238,2.38,0,0,0
8007,1.38,0,0,0
14340,1.5,0,0,0
17950,3.38,1,0,1
17205,1.6,0,0,0
14569,2.67,0,0,0
11156,1.4,0,0,0
16453,1.5,0,0,0
11428,3.0,0,0,1
5638,1.25,0,0,0
5103,2.27,0,0,0
20250,1.78,0,1,0
7584,1.14,0,0,0
5395,1.64,0,0,0
13200,1.65,1,0,0
15445,1.5,1,0,0
5363,3.5,1,0,1
11370,1.5,0,0,0
13566,2.33,1,0,1
11479,2.38,1,0,1
233,2.88,1,1,0
2967,2.23,1,0,1
12700,1.14,1,0,0
6433,2.38,0,0,0
8027,3.13,1,0,1
6008,3.69,1,0,1
10380,2.67,1,0,0
10490,3.25,1,0,1
15438,2.0,0,0,0
2998,2.25,1,0,0
3210,4.58,1,0,1
8339,2.5,0,0,1
16412,1.86,0,0,0
10187,1.25,0,0,0
5810,1.5,0,0,0
4100,1.49,0,0,0
3038,2.48,0,1,0
13180,2.71,1,1,1
273,2.97,0,1,0
14434,2.38,0,0,0
10768,1.13,0,0,0
18841,2.0,0,0,0
12040,1.0,0,0,0
6997,2.0,0,1,0
6730,2.75,0,0,0
13037,1.89,0,0,0
8980,2.0,0,0,0
4562,2.58,0,1,0
12908,2.6,0,0,0
19007,1.13,0,0,0
19744,1.25,0,0,0
12468,1.0,0,0,0
13783,1.6,0,0,0
11777,3.73,1,0,0
5540,2.17,0,0,0
5444,1.42,0,0,0
5193,2.19,1,0,0
7314,2.33,1,0,0
18946,1.17,0,0,0
19306,1.0,0,0,0
624,1.21,0,0,0
5406,3.06,1,0,1
14810,1.2,0,0,0
4307,2.0,1,0,0
146,1.93,0,0,0
7008,2.0,0,0,0
16227,1.5,0,0,0
16671,1.86,0,0,0
20054,1.83,0,0,0
7339,1.13,0,0,0
4779,2.0,0,0,0
9995,2.17,0,0,1
13065,2.0,0,0,0
19578,1.0,0,0,0
18860,1.5,0,0,0
9077,2.0,0,0,0
19900,1.0,0,0,0
10119,2.67,1,0,0
1271,2.09,0,0,0
15413,1.67,1,0,0
105,2.54,0,1,0
13197,3.57,0,0,1
10212,3.18,0,0,1
11998,1.29,0,0,0
4708,3.76,0,1,0
15701,1.0,0,0,0
1897,2.63,1,1,0
3388,2.07,0,1,0
17882,1.86,0,1,0
7015,3.44,1,0,1
476,1.85,0,0,0
4939,2.8,1,0,0
10932,3.0,0,0,0
6438,2.21,0,0,0
2902,1.91,0,0,0
14044,2.0,0,0,0
15661,0.0,0,0,0
7059,2.25,0,0,0
2926,3.44,0,0,0
8342,3.4,0,0,0
16123,2.0,0,0,0
17277,3.0,0,1,0
19898,1.0,0,0,0
3102,2.48,0,0,0
449,2.41,1,0,0
14846,2.66,1,0,1
76,3.28,1,0,0
14479,2.0,0,0,0
17023,1.11,0,0,0
15448,1.67,0,0,0
18042,2.0,0,0,0
7074,1.12,0,0,0
14263,3.59,0,1,0
20100,1.55,1,0,0
16042,1.17,0,0,0
10503,1.5,0,0,0
17668,1.0,0,0,0
18668,1.0,0,0,0
15117,1.33,0,0,0
17353,1.62,0,0,0
7495,2.43,1,0,1
16941,1.56,0,0,0
17557,1.5,1,0,0
15492,1.62,0,0,0
15993,1.81,0,0,0
12734,1.67,0,1,0
5524,2.68,0,0,1
1077,4.08,1,0,0
17967,0.0,0,0,0
17719,3.0,0,0,1
12270,3.14,0,0,1
18879,1.47,0,0,0
13162,1.47,0,0,0
2380,2.13,0,0,0
9686,3.53,1,0,1
17338,1.0,0,0,0
18267,1.63,0,0,0
16504,2.0,0,0,0
11647,1.0,0,0,0
10274,3.0,1,0,0
10437,2.38,1,0,1
10193,2.07,0,0,0
8231,1.89,0,0,0
1687,2.86,0,1,0
426,2.26,0,1,0
52,3.7,1,1,0
14004,1.0,0,0,0
19292,1.0,0,0,0
6360,2.17,1,0,0
11184,1.75,1,0,0
15163,3.0,0,0,1
5733,2.1,0,0,0
10593,4.18,0,0,1
4245,2.67,1,0,0
12572,1.0,0,0,0
17187,1.0,0,0,0
16192,2.0,0,0,0
